YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,2,4,1,4,4/1/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0725,0.00,1001,-2.00,0.00,,0.00,1.00
2021,2,4,2,5,4/2/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0724,-1.00,0958,-5.00,0.00,,0.00,1.00
2021,2,4,3,6,4/3/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0722,-3.00,1002,-1.00,0.00,,0.00,1.00
2021,2,4,4,7,4/4/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0724,-1.00,0955,-8.00,0.00,,0.00,1.00
2021,2,4,5,1,4/5/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0724,-1.00,0955,-8.00,0.00,,0.00,1.00
2021,2,4,6,2,4/6/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0722,-3.00,0953,-10.00,0.00,,0.00,1.00
2021,2,4,7,3,4/7/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0722,-3.00,0952,-11.00,0.00,,0.00,1.00
2021,2,4,8,4,4/8/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0721,-4.00,0953,-10.00,0.00,,0.00,1.00
2021,2,4,9,5,4/9/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0721,-4.00,0953,-10.00,0.00,,0.00,1.00
2021,2,4,10,6,4/10/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0719,-6.00,1015,12.00,0.00,,0.00,1.00
2021,2,4,11,7,4/11/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0721,-4.00,0957,-6.00,0.00,,0.00,1.00
