YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,2959,"Atlanta, GA",GA,"New Orleans, LA",LA,1122,-3.00,1144,-11.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3530,"Atlanta, GA",GA,"New Orleans, LA",LA,2015,45.00,2040,40.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4396,"Austin, TX",TX,"New Orleans, LA",LA,1043,3.00,1202,-3.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4839,"Austin, TX",TX,"New Orleans, LA",LA,1652,7.00,1816,6.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3537,"Nashville, TN",TN,"New Orleans, LA",LA,2324,114.00,0052,112.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4698,"Nashville, TN",TN,"New Orleans, LA",LA,0809,4.00,0931,-4.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,6985,"Nashville, TN",TN,"New Orleans, LA",LA,1230,25.00,1412,47.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3259,"Baltimore, MD",MD,"New Orleans, LA",LA,2313,138.00,0045,130.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,540,"Dallas, TX",TX,"New Orleans, LA",LA,,,,,1.00,A,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,1173,"Dallas, TX",TX,"New Orleans, LA",LA,0557,-3.00,0708,-22.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3887,"Dallas, TX",TX,"New Orleans, LA",LA,0814,-1.00,0928,-17.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4162,"Dallas, TX",TX,"New Orleans, LA",LA,1949,54.00,2117,62.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,5062,"Dallas, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,2702,"Denver, CO",CO,"New Orleans, LA",LA,2147,87.00,0121,86.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3016,"Denver, CO",CO,"New Orleans, LA",LA,1259,39.00,1627,32.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,2524,"Fort Lauderdale, FL",FL,"New Orleans, LA",LA,1321,6.00,1424,-1.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,6869,"Fort Lauderdale, FL",FL,"New Orleans, LA",LA,0906,56.00,0955,30.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,933,"Houston, TX",TX,"New Orleans, LA",LA,2009,59.00,2103,48.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,2537,"Houston, TX",TX,"New Orleans, LA",LA,1851,111.00,2003,113.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3658,"Houston, TX",TX,"New Orleans, LA",LA,1155,25.00,1253,13.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3824,"Houston, TX",TX,"New Orleans, LA",LA,0932,27.00,1031,16.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4530,"Houston, TX",TX,"New Orleans, LA",LA,0644,19.00,0740,10.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,5092,"Houston, TX",TX,"New Orleans, LA",LA,2157,22.00,2252,12.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,599,"Houston, TX",TX,"New Orleans, LA",LA,0744,-1.00,0846,-14.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3057,"Houston, TX",TX,"New Orleans, LA",LA,1638,58.00,1746,51.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4990,"Houston, TX",TX,"New Orleans, LA",LA,2241,126.00,2338,113.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,2052,"Las Vegas, NV",NV,"New Orleans, LA",LA,2046,141.00,0210,140.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4319,"Las Vegas, NV",NV,"New Orleans, LA",LA,0941,51.00,1502,47.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,4216,"Los Angeles, CA",CA,"New Orleans, LA",LA,1100,-5.00,1645,-5.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3055,"New York, NY",NY,"New Orleans, LA",LA,1030,0.00,1236,-19.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3138,"Orlando, FL",FL,"New Orleans, LA",LA,1745,70.00,1843,83.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3739,"Orlando, FL",FL,"New Orleans, LA",LA,0228,278.00,0303,268.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,5311,"Orlando, FL",FL,"New Orleans, LA",LA,0709,-6.00,0739,-21.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3319,"Chicago, IL",IL,"New Orleans, LA",LA,0922,27.00,1131,26.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3347,"Chicago, IL",IL,"New Orleans, LA",LA,2143,33.00,2341,16.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,WN,3063,"Miami, FL",FL,"New Orleans, LA",LA,1517,7.00,1607,-8.00,0.00,,0.00,1.00
