YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,3540,"Chicago, IL",IL,"New Orleans, LA",LA,0848,-2.00,1046,-24.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,5281,"Chicago, IL",IL,"New Orleans, LA",LA,2102,2.00,2251,-34.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,1686,"Miami, FL",FL,"New Orleans, LA",LA,1728,-7.00,1827,-18.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,597,"New Orleans, LA",LA,"Atlanta, GA",GA,1739,-1.00,1956,-9.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,6056,"New Orleans, LA",LA,"Atlanta, GA",GA,0654,-6.00,0912,-13.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,857,"New Orleans, LA",LA,"Austin, TX",TX,1008,-2.00,1151,11.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,4154,"New Orleans, LA",LA,"Austin, TX",TX,0750,-5.00,0919,-11.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,5325,"New Orleans, LA",LA,"Austin, TX",TX,1705,10.00,1828,3.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,3165,"New Orleans, LA",LA,"Nashville, TN",TN,1202,-3.00,1320,-15.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,4168,"New Orleans, LA",LA,"Baltimore, MD",MD,0622,-3.00,0936,-9.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,4881,"New Orleans, LA",LA,"Baltimore, MD",MD,1629,9.00,1948,8.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,1686,"New Orleans, LA",LA,"Dallas, TX",TX,1911,-9.00,2026,-24.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,3026,"New Orleans, LA",LA,"Dallas, TX",TX,1030,-5.00,1150,-15.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,3414,"New Orleans, LA",LA,"Dallas, TX",TX,1510,0.00,1646,6.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,6067,"New Orleans, LA",LA,"Dallas, TX",TX,1721,-4.00,1859,-1.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,6092,"New Orleans, LA",LA,"Dallas, TX",TX,0655,-5.00,0820,-15.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,2611,"New Orleans, LA",LA,"Washington, DC",VA,0926,-4.00,1235,-15.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,5964,"New Orleans, LA",LA,"Washington, DC",VA,1915,95.00,2231,91.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,989,"New Orleans, LA",LA,"Denver, CO",CO,1211,-4.00,1403,-7.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,1722,"New Orleans, LA",LA,"Denver, CO",CO,0611,1.00,0805,0.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,5652,"New Orleans, LA",LA,"Fort Lauderdale, FL",FL,1457,-3.00,1732,-18.00,0.00,,0.00,1.00
2021,4,12,1,3,12/1/2021 12:00:00 AM,WN,46,"New Orleans, LA",LA,"Houston, TX",TX,1546,16.00,1656,6.00,0.00,,0.00,1.00
