YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,1,1,10,7,1/10/2021 12:00:00 AM,WN,3448,"Tampa, FL",FL,"New Orleans, LA",LA,1408,-2.00,1444,-11.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,3803,"Atlanta, GA",GA,"New Orleans, LA",LA,1809,29.00,1843,28.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,4115,"Atlanta, GA",GA,"New Orleans, LA",LA,1246,1.00,1326,1.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,2713,"Nashville, TN",TN,"New Orleans, LA",LA,1101,-4.00,1255,15.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,4773,"Nashville, TN",TN,"New Orleans, LA",LA,1528,-2.00,1703,-2.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,1588,"Baltimore, MD",MD,"New Orleans, LA",LA,1819,-1.00,2032,17.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,2330,"Dallas, TX",TX,"New Orleans, LA",LA,1035,-5.00,1153,-7.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,2484,"Dallas, TX",TX,"New Orleans, LA",LA,1354,-1.00,1510,-5.00,0.00,,0.00,1.00
2021,1,1,11,1,1/11/2021 12:00:00 AM,WN,2800,"Dallas, TX",TX,"New Orleans, LA",LA,1617,-3.00,1736,-9.00,0.00,,0.00,1.00
2021,1,1,23,6,1/23/2021 12:00:00 AM,WN,4064,"Houston, TX",TX,"New Orleans, LA",LA,1919,-1.00,2013,-12.00,0.00,,0.00,1.00
2021,1,1,23,6,1/23/2021 12:00:00 AM,WN,4098,"Houston, TX",TX,"New Orleans, LA",LA,1046,1.00,1151,-4.00,0.00,,0.00,1.00
2021,1,1,23,6,1/23/2021 12:00:00 AM,WN,6263,"Houston, TX",TX,"New Orleans, LA",LA,1616,-4.00,1706,-24.00,0.00,,0.00,1.00
