YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,3,7,23,5,7/23/2021 12:00:00 AM,OO,4640,"Denver, CO",CO,"New Orleans, LA",LA,0800,0.00,1152,12.00,0.00,,0.00,1.00
2021,3,7,24,6,7/24/2021 12:00:00 AM,OO,4640,"Denver, CO",CO,"New Orleans, LA",LA,0807,7.00,1148,8.00,0.00,,0.00,1.00
2021,3,7,24,6,7/24/2021 12:00:00 AM,OO,5550,"Houston, TX",TX,"Shreveport, LA",LA,1859,154.00,2002,162.00,0.00,,0.00,1.00
2021,3,7,24,6,7/24/2021 12:00:00 AM,OO,5557,"Shreveport, LA",LA,"Houston, TX",TX,2024,150.00,2115,135.00,0.00,,0.00,1.00
2021,3,7,17,6,7/17/2021 12:00:00 AM,OO,5550,"Houston, TX",TX,"Shreveport, LA",LA,1624,-1.00,1722,2.00,0.00,,0.00,1.00
2021,3,7,3,6,7/3/2021 12:00:00 AM,OO,4640,"Denver, CO",CO,"New Orleans, LA",LA,0803,3.00,1142,2.00,0.00,,0.00,1.00
2021,3,7,3,6,7/3/2021 12:00:00 AM,OO,4706,"New Orleans, LA",LA,"Denver, CO",CO,1224,-6.00,1431,-6.00,0.00,,0.00,1.00
2021,3,7,2,5,7/2/2021 12:00:00 AM,OO,4640,"Denver, CO",CO,"New Orleans, LA",LA,0758,-2.00,1130,-10.00,0.00,,0.00,1.00
2021,3,7,2,5,7/2/2021 12:00:00 AM,OO,4706,"New Orleans, LA",LA,"Denver, CO",CO,1230,0.00,1423,-14.00,0.00,,0.00,1.00
2021,3,7,13,2,7/13/2021 12:00:00 AM,OO,4706,"New Orleans, LA",LA,"Denver, CO",CO,1221,-9.00,1421,-16.00,0.00,,0.00,1.00
2021,3,7,29,4,7/29/2021 12:00:00 AM,OO,3181,"Shreveport, LA",LA,"Dallas/Fort Worth, TX",TX,1629,-2.00,1748,4.00,0.00,,0.00,1.00
2021,3,7,29,4,7/29/2021 12:00:00 AM,OO,3203,"Baton Rouge, LA",LA,"Dallas/Fort Worth, TX",TX,1217,-9.00,1345,-14.00,0.00,,0.00,1.00
2021,3,7,30,5,7/30/2021 12:00:00 AM,OO,3071,"Baton Rouge, LA",LA,"Dallas/Fort Worth, TX",TX,2016,22.00,2148,19.00,0.00,,0.00,1.00
2021,3,7,30,5,7/30/2021 12:00:00 AM,OO,3170,"Lafayette, LA",LA,"Dallas/Fort Worth, TX",TX,1624,-11.00,1751,-16.00,0.00,,0.00,1.00
2021,3,7,30,5,7/30/2021 12:00:00 AM,OO,3203,"Baton Rouge, LA",LA,"Dallas/Fort Worth, TX",TX,1218,-8.00,1346,-13.00,0.00,,0.00,1.00
2021,3,7,30,5,7/30/2021 12:00:00 AM,OO,3203,"Dallas/Fort Worth, TX",TX,"Baton Rouge, LA",LA,1022,-3.00,1147,-9.00,0.00,,0.00,1.00
2021,3,7,2,5,7/2/2021 12:00:00 AM,OO,3181,"Dallas/Fort Worth, TX",TX,"Shreveport, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,7,2,5,7/2/2021 12:00:00 AM,OO,3181,"Shreveport, LA",LA,"Dallas/Fort Worth, TX",TX,,,,,1.00,B,0.00,1.00
2021,3,7,2,5,7/2/2021 12:00:00 AM,OO,3203,"Baton Rouge, LA",LA,"Dallas/Fort Worth, TX",TX,1634,248.00,1833,274.00,0.00,,0.00,1.00
2021,3,7,2,5,7/2/2021 12:00:00 AM,OO,3203,"Dallas/Fort Worth, TX",TX,"Baton Rouge, LA",LA,1439,254.00,1603,247.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,OO,3181,"Shreveport, LA",LA,"Dallas/Fort Worth, TX",TX,1757,86.00,1906,82.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,OO,3071,"Dallas/Fort Worth, TX",TX,"Baton Rouge, LA",LA,1726,-9.00,1847,-13.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,OO,3170,"Lafayette, LA",LA,"Dallas/Fort Worth, TX",TX,1630,-5.00,1747,-20.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,OO,3203,"Baton Rouge, LA",LA,"Dallas/Fort Worth, TX",TX,1217,-9.00,1338,-21.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,OO,3203,"Dallas/Fort Worth, TX",TX,"Baton Rouge, LA",LA,1021,-4.00,1139,-17.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,OO,3066,"Baton Rouge, LA",LA,"Dallas/Fort Worth, TX",TX,1622,-10.00,1742,-23.00,0.00,,0.00,1.00
