YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,2,6,1,2,6/1/2021 12:00:00 AM,AA,1699,"New Orleans, LA",LA,"Phoenix, AZ",AZ,1633,-6.00,1754,-20.00,0.00,,0.00,1.00
2021,2,6,2,3,6/2/2021 12:00:00 AM,AA,1699,"New Orleans, LA",LA,"Phoenix, AZ",AZ,1631,-8.00,1754,-20.00,0.00,,0.00,1.00
2021,2,6,1,2,6/1/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,1842,-3.00,1933,-19.00,0.00,,0.00,1.00
2021,2,6,2,3,6/2/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,1840,-5.00,1936,-16.00,0.00,,0.00,1.00
2021,2,6,3,4,6/3/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2056,-1.00,2156,6.00,0.00,,0.00,1.00
2021,2,6,4,5,6/4/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2103,6.00,2153,3.00,0.00,,0.00,1.00
2021,2,6,5,6,6/5/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2057,0.00,2157,7.00,0.00,,0.00,1.00
2021,2,6,6,7,6/6/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2239,102.00,2353,123.00,0.00,,0.00,1.00
2021,2,6,7,1,6/7/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2322,145.00,0016,146.00,0.00,,0.00,1.00
2021,2,6,8,2,6/8/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2111,14.00,2201,11.00,0.00,,0.00,1.00
2021,2,6,9,3,6/9/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2053,-4.00,2148,-2.00,0.00,,0.00,1.00
2021,2,6,10,4,6/10/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2129,32.00,2209,19.00,0.00,,0.00,1.00
2021,2,6,11,5,6/11/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2104,7.00,2154,4.00,0.00,,0.00,1.00
2021,2,6,12,6,6/12/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2224,87.00,2311,81.00,0.00,,0.00,1.00
2021,2,6,13,7,6/13/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2101,4.00,2144,-6.00,0.00,,0.00,1.00
2021,2,6,14,1,6/14/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2123,26.00,2209,19.00,0.00,,0.00,1.00
2021,2,6,15,2,6/15/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2128,31.00,2212,22.00,0.00,,0.00,1.00
2021,2,6,16,3,6/16/2021 12:00:00 AM,AA,607,"Charlotte, NC",NC,"New Orleans, LA",LA,2227,90.00,2315,85.00,0.00,,0.00,1.00
