YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,1,3,1,1,3/1/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2057,-13.00,2141,-13.00,0.00,,0.00,1.00
2021,1,3,2,2,3/2/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2050,-5.00,2144,2.00,0.00,,0.00,1.00
2021,1,3,3,3,3/3/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2050,-5.00,2118,-24.00,0.00,,0.00,1.00
2021,1,3,4,4,3/4/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2047,-8.00,2127,-15.00,0.00,,0.00,1.00
2021,1,3,5,5,3/5/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2040,-15.00,2121,-21.00,0.00,,0.00,1.00
2021,1,3,6,6,3/6/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2117,22.00,2147,5.00,0.00,,0.00,1.00
2021,1,3,7,7,3/7/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2052,-3.00,2119,-23.00,0.00,,0.00,1.00
2021,1,3,8,1,3/8/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2044,-11.00,2112,-30.00,0.00,,0.00,1.00
2021,1,3,9,2,3/9/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2051,-4.00,2124,-18.00,0.00,,0.00,1.00
2021,1,3,10,3,3/10/2021 12:00:00 AM,9E,4865,"Atlanta, GA",GA,"Alexandria, LA",LA,2051,-4.00,2127,-15.00,0.00,,0.00,1.00
