YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3004,"Atlanta, GA",GA,"New Orleans, LA",LA,1945,115.00,2009,104.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2216,"Austin, TX",TX,"New Orleans, LA",LA,1527,-3.00,1638,-17.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3074,"Nashville, TN",TN,"New Orleans, LA",LA,1806,6.00,1927,-3.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,4830,"Nashville, TN",TN,"New Orleans, LA",LA,0745,0.00,0921,6.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3310,"Baltimore, MD",MD,"New Orleans, LA",LA,1851,16.00,2028,8.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2584,"Dallas, TX",TX,"New Orleans, LA",LA,1131,-4.00,1249,-6.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2717,"Dallas, TX",TX,"New Orleans, LA",LA,1939,-1.00,2057,-3.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2852,"Dallas, TX",TX,"New Orleans, LA",LA,1525,10.00,1645,5.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3549,"Dallas, TX",TX,"New Orleans, LA",LA,0711,21.00,0825,10.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,1775,"Denver, CO",CO,"New Orleans, LA",LA,1058,-2.00,1433,-2.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3135,"Fort Lauderdale, FL",FL,"New Orleans, LA",LA,1748,13.00,1843,-2.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2295,"Houston, TX",TX,"New Orleans, LA",LA,1526,46.00,1624,34.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2484,"Houston, TX",TX,"New Orleans, LA",LA,0641,1.00,0745,0.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2835,"Houston, TX",TX,"New Orleans, LA",LA,2049,19.00,2147,12.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3140,"Houston, TX",TX,"New Orleans, LA",LA,1727,2.00,1832,-3.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2235,"Houston, TX",TX,"New Orleans, LA",LA,0855,0.00,0952,-8.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3028,"Houston, TX",TX,"New Orleans, LA",LA,1847,-8.00,1942,-13.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2787,"Las Vegas, NV",NV,"New Orleans, LA",LA,1740,0.00,2301,6.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2695,"Orlando, FL",FL,"New Orleans, LA",LA,1654,-1.00,1732,-13.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3241,"Orlando, FL",FL,"New Orleans, LA",LA,2037,-3.00,2117,-13.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,4414,"Orlando, FL",FL,"New Orleans, LA",LA,0951,1.00,1033,-7.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2160,"Chicago, IL",IL,"New Orleans, LA",LA,0831,-4.00,1031,-19.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2446,"Chicago, IL",IL,"New Orleans, LA",LA,1914,49.00,2121,41.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2858,"New Orleans, LA",LA,"Atlanta, GA",GA,0749,-1.00,1022,2.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,1775,"New Orleans, LA",LA,"Austin, TX",TX,1525,5.00,1656,6.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2216,"New Orleans, LA",LA,"Nashville, TN",TN,1738,-2.00,1857,-13.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2862,"New Orleans, LA",LA,"Nashville, TN",TN,0723,-2.00,0857,2.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2439,"New Orleans, LA",LA,"Baltimore, MD",MD,1637,-3.00,1954,-16.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2160,"New Orleans, LA",LA,"Dallas, TX",TX,1128,-7.00,1247,-18.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2459,"New Orleans, LA",LA,"Dallas, TX",TX,0821,6.00,0944,-1.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2695,"New Orleans, LA",LA,"Dallas, TX",TX,1826,-4.00,2013,13.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3011,"New Orleans, LA",LA,"Dallas, TX",TX,1422,2.00,1550,0.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,4414,"New Orleans, LA",LA,"Denver, CO",CO,1118,-2.00,1256,-14.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2859,"New Orleans, LA",LA,"Fort Lauderdale, FL",FL,0622,-3.00,0910,-10.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,859,"New Orleans, LA",LA,"Houston, TX",TX,1349,-1.00,1455,-15.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,1405,"New Orleans, LA",LA,"Houston, TX",TX,0920,35.00,1028,23.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2752,"New Orleans, LA",LA,"Houston, TX",TX,1834,-1.00,1941,-14.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2863,"New Orleans, LA",LA,"Houston, TX",TX,0614,-1.00,0714,-21.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,27,"New Orleans, LA",LA,"Houston, TX",TX,1109,-1.00,1234,4.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3135,"New Orleans, LA",LA,"Houston, TX",TX,1924,-6.00,2032,-18.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2300,"New Orleans, LA",LA,"Las Vegas, NV",NV,1710,20.00,1842,2.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2235,"New Orleans, LA",LA,"Orlando, FL",FL,1048,8.00,1315,-10.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2870,"New Orleans, LA",LA,"Orlando, FL",FL,0603,-2.00,0834,-16.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3005,"New Orleans, LA",LA,"Orlando, FL",FL,2053,113.00,2318,93.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2852,"New Orleans, LA",LA,"Chicago, IL",IL,1741,16.00,1950,10.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2871,"New Orleans, LA",LA,"Chicago, IL",IL,0701,-4.00,0908,-17.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2884,"New Orleans, LA",LA,"Phoenix, AZ",AZ,0558,-2.00,0711,-19.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2872,"New Orleans, LA",LA,"St. Louis, MO",MO,0817,-3.00,0957,-8.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,2892,"New Orleans, LA",LA,"Tampa, FL",FL,0631,-4.00,0854,-11.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,WN,3140,"New Orleans, LA",LA,"Tampa, FL",FL,1913,3.00,2132,-8.00,0.00,,0.00,1.00
