YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,4,11,19,5,11/19/2021 12:00:00 AM,OH,5663,"Alexandria, LA",LA,"Charlotte, NC",NC,0912,-2.00,1215,-8.00,0.00,,0.00,1.00
2021,4,11,2,2,11/2/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1328,-3.00,1502,1.00,0.00,,0.00,1.00
2021,4,11,3,3,11/3/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-6.00,1456,-5.00,0.00,,0.00,1.00
2021,4,11,4,4,11/4/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1407,36.00,1529,28.00,0.00,,0.00,1.00
2021,4,11,5,5,11/5/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1322,-9.00,1453,-8.00,0.00,,0.00,1.00
2021,4,11,6,6,11/6/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1324,-7.00,1438,-23.00,0.00,,0.00,1.00
2021,4,11,7,7,11/7/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1324,-7.00,1445,-16.00,0.00,,0.00,1.00
2021,4,11,8,1,11/8/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-6.00,1442,-19.00,0.00,,0.00,1.00
2021,4,11,9,2,11/9/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-6.00,1444,-17.00,0.00,,0.00,1.00
2021,4,11,10,3,11/10/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1320,-11.00,1439,-22.00,0.00,,0.00,1.00
2021,4,11,11,4,11/11/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-6.00,1447,-14.00,0.00,,0.00,1.00
2021,4,11,12,5,11/12/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-6.00,1457,-4.00,0.00,,0.00,1.00
2021,4,11,13,6,11/13/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1318,-13.00,1453,-8.00,0.00,,0.00,1.00
2021,4,11,14,7,11/14/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1327,-4.00,1507,6.00,0.00,,0.00,1.00
2021,4,11,15,1,11/15/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1327,-4.00,1444,-17.00,0.00,,0.00,1.00
2021,4,11,16,2,11/16/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1322,-9.00,1439,-22.00,0.00,,0.00,1.00
2021,4,11,17,3,11/17/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1330,-1.00,1517,16.00,0.00,,0.00,1.00
2021,4,11,18,4,11/18/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-5.00,1440,-22.00,0.00,,0.00,1.00
2021,4,11,19,5,11/19/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1407,37.00,1521,19.00,0.00,,0.00,1.00
2021,4,11,20,6,11/20/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1445,-5.00,1613,-13.00,0.00,,0.00,1.00
2021,4,11,21,7,11/21/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1321,-9.00,1510,8.00,0.00,,0.00,1.00
2021,4,11,22,1,11/22/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1328,-2.00,1449,-13.00,0.00,,0.00,1.00
2021,4,11,23,2,11/23/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1338,8.00,1447,-15.00,0.00,,0.00,1.00
2021,4,11,24,3,11/24/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1323,-7.00,1447,-15.00,0.00,,0.00,1.00
2021,4,11,25,4,11/25/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1319,-11.00,1447,-15.00,0.00,,0.00,1.00
2021,4,11,26,5,11/26/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-5.00,1457,-5.00,0.00,,0.00,1.00
2021,4,11,27,6,11/27/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1325,-5.00,1530,28.00,0.00,,0.00,1.00
2021,4,11,28,7,11/28/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1322,-8.00,1457,-5.00,0.00,,0.00,1.00
2021,4,11,29,1,11/29/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1334,4.00,1511,9.00,0.00,,0.00,1.00
2021,4,11,30,2,11/30/2021 12:00:00 AM,OH,5685,"Charlotte, NC",NC,"Shreveport, LA",LA,1323,-7.00,1511,9.00,0.00,,0.00,1.00
2021,4,11,2,2,11/2/2021 12:00:00 AM,OH,5685,"Shreveport, LA",LA,"Charlotte, NC",NC,1535,0.00,1847,-9.00,0.00,,0.00,1.00
2021,4,11,3,3,11/3/2021 12:00:00 AM,OH,5685,"Shreveport, LA",LA,"Charlotte, NC",NC,1524,-11.00,1838,-18.00,0.00,,0.00,1.00
2021,4,11,4,4,11/4/2021 12:00:00 AM,OH,5685,"Shreveport, LA",LA,"Charlotte, NC",NC,1722,107.00,2020,84.00,0.00,,0.00,1.00
2021,4,11,5,5,11/5/2021 12:00:00 AM,OH,5685,"Shreveport, LA",LA,"Charlotte, NC",NC,1526,-9.00,1845,-11.00,0.00,,0.00,1.00
