YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,4,10,1,5,10/1/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0708,8.00,0933,-10.00,0.00,,0.00,1.00
2021,4,10,2,6,10/2/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0700,0.00,0931,-12.00,0.00,,0.00,1.00
2021,4,10,3,7,10/3/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0657,-3.00,1035,52.00,0.00,,0.00,1.00
2021,4,10,4,1,10/4/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0700,0.00,0929,-14.00,0.00,,0.00,1.00
2021,4,10,5,2,10/5/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0656,-4.00,0934,-9.00,0.00,,0.00,1.00
2021,4,10,6,3,10/6/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0655,-5.00,0925,-18.00,0.00,,0.00,1.00
2021,4,10,7,4,10/7/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0700,0.00,0937,-6.00,0.00,,0.00,1.00
2021,4,10,8,5,10/8/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0658,-2.00,0926,-17.00,0.00,,0.00,1.00
2021,4,10,9,6,10/9/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0656,-4.00,0928,-15.00,0.00,,0.00,1.00
2021,4,10,10,7,10/10/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0659,-1.00,0940,-3.00,0.00,,0.00,1.00
2021,4,10,11,1,10/11/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0658,-2.00,0932,-12.00,0.00,,0.00,1.00
2021,4,10,12,2,10/12/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0658,-2.00,0946,2.00,0.00,,0.00,1.00
2021,4,10,13,3,10/13/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0652,-8.00,0937,-7.00,0.00,,0.00,1.00
2021,4,10,14,4,10/14/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0657,-3.00,0934,-10.00,0.00,,0.00,1.00
2021,4,10,15,5,10/15/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0657,-3.00,0930,-14.00,0.00,,0.00,1.00
2021,4,10,16,6,10/16/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0657,-3.00,0944,0.00,0.00,,0.00,1.00
2021,4,10,17,7,10/17/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0656,-4.00,0930,-14.00,0.00,,0.00,1.00
2021,4,10,18,1,10/18/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0804,64.00,1038,54.00,0.00,,0.00,1.00
2021,4,10,19,2,10/19/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0657,-3.00,0931,-13.00,0.00,,0.00,1.00
2021,4,10,20,3,10/20/2021 12:00:00 AM,9E,5070,"Lafayette, LA",LA,"Atlanta, GA",GA,0656,-4.00,0931,-13.00,0.00,,0.00,1.00
