YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,2798,"Atlanta, GA",GA,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,4132,"Atlanta, GA",GA,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,2915,"Austin, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,5228,"Austin, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,2494,"Nashville, TN",TN,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,3867,"Nashville, TN",TN,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,6963,"Nashville, TN",TN,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,868,"Baltimore, MD",MD,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,1914,"Baltimore, MD",MD,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,636,"Dallas, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,2377,"Dallas, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,2500,"Dallas, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,2816,"Dallas, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,4743,"Dallas, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,1493,"Denver, CO",CO,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,5073,"Denver, CO",CO,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,5093,"Denver, CO",CO,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,2294,"Fort Lauderdale, FL",FL,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,3517,"Fort Lauderdale, FL",FL,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,6961,"Fort Lauderdale, FL",FL,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,23,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,4224,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,4800,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,4988,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,5248,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,101,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,4925,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,5276,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,5523,"Houston, TX",TX,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,433,"Las Vegas, NV",NV,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
2021,3,9,1,3,9/1/2021 12:00:00 AM,WN,3978,"Las Vegas, NV",NV,"New Orleans, LA",LA,,,,,1.00,B,0.00,1.00
