YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,2,4,30,5,4/30/2021 12:00:00 AM,G4,1910,"Valparaiso, FL",FL,"Baltimore, MD",MD,1611,66.00,1917,58.00,0.00,,0.00,1.00
2021,2,4,22,4,4/22/2021 12:00:00 AM,G4,2500,"Savannah, GA",GA,"Baltimore, MD",MD,0722,-8.00,0900,-4.00,0.00,,0.00,1.00
2021,2,4,16,5,4/16/2021 12:00:00 AM,G4,2023,"Baltimore, MD",MD,"Sarasota/Bradenton, FL",FL,0938,-7.00,1215,-1.00,0.00,,0.00,1.00
2021,2,4,2,5,4/2/2021 12:00:00 AM,G4,2064,"Baltimore, MD",MD,"Sarasota/Bradenton, FL",FL,0905,-2.00,1123,-8.00,0.00,,0.00,1.00
2021,2,4,15,4,4/15/2021 12:00:00 AM,G4,1210,"Asheville, NC",NC,"Baltimore, MD",MD,1346,-15.00,1504,-16.00,0.00,,0.00,1.00
2021,2,4,26,1,4/26/2021 12:00:00 AM,G4,1910,"Valparaiso, FL",FL,"Baltimore, MD",MD,1458,-7.00,1813,-6.00,0.00,,0.00,1.00
2021,2,4,11,7,4/11/2021 12:00:00 AM,G4,2535,"Savannah, GA",GA,"Baltimore, MD",MD,1709,-9.00,1836,-16.00,0.00,,0.00,1.00
2021,2,4,1,4,4/1/2021 12:00:00 AM,G4,2535,"Savannah, GA",GA,"Baltimore, MD",MD,1710,-8.00,1838,-15.00,0.00,,0.00,1.00
2021,2,4,12,1,4/12/2021 12:00:00 AM,G4,2190,"Hagerstown, MD",MD,"Sanford, FL",FL,,,,,1.00,A,0.00,1.00
2021,2,4,29,4,4/29/2021 12:00:00 AM,G4,1210,"Asheville, NC",NC,"Baltimore, MD",MD,1355,-6.00,1507,-13.00,0.00,,0.00,1.00
