YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,3,8,1,7,8/1/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1313,-2.00,1448,-3.00,0.00,,0.00,1.00
2021,3,8,2,1,8/2/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1310,-5.00,1431,-20.00,0.00,,0.00,1.00
2021,3,8,3,2,8/3/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1310,-5.00,1430,-21.00,0.00,,0.00,1.00
2021,3,8,4,3,8/4/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1312,-3.00,1434,-17.00,0.00,,0.00,1.00
2021,3,8,5,4,8/5/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1258,-2.00,1416,-17.00,0.00,,0.00,1.00
2021,3,8,6,5,8/6/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1310,10.00,1435,2.00,0.00,,0.00,1.00
2021,3,8,7,6,8/7/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1720,-5.00,1847,-15.00,0.00,,0.00,1.00
2021,3,8,8,7,8/8/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1315,15.00,1441,8.00,0.00,,0.00,1.00
2021,3,8,9,1,8/9/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1253,-7.00,1444,11.00,0.00,,0.00,1.00
2021,3,8,10,2,8/10/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1820,55.00,2013,71.00,0.00,,0.00,1.00
2021,3,8,11,3,8/11/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,,,,,1.00,C,0.00,1.00
2021,3,8,12,4,8/12/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1517,137.00,1659,146.00,0.00,,0.00,1.00
2021,3,8,13,5,8/13/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1303,3.00,1423,-10.00,0.00,,0.00,1.00
2021,3,8,14,6,8/14/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1720,-5.00,1853,-9.00,0.00,,0.00,1.00
2021,3,8,15,7,8/15/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1325,25.00,1446,13.00,0.00,,0.00,1.00
2021,3,8,16,1,8/16/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1250,-10.00,1413,-20.00,0.00,,0.00,1.00
2021,3,8,17,2,8/17/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1722,-3.00,1850,-12.00,0.00,,0.00,1.00
2021,3,8,18,3,8/18/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1720,-5.00,1901,-1.00,0.00,,0.00,1.00
2021,3,8,19,4,8/19/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1305,5.00,1427,-6.00,0.00,,0.00,1.00
2021,3,8,20,5,8/20/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1358,58.00,1516,43.00,0.00,,0.00,1.00
2021,3,8,21,6,8/21/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1720,-5.00,1859,-3.00,0.00,,0.00,1.00
2021,3,8,22,7,8/22/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1255,-5.00,1413,-20.00,0.00,,0.00,1.00
2021,3,8,23,1,8/23/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1258,-2.00,1419,-14.00,0.00,,0.00,1.00
2021,3,8,24,2,8/24/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1720,-5.00,1837,-25.00,0.00,,0.00,1.00
2021,3,8,25,3,8/25/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1720,-5.00,1933,31.00,0.00,,0.00,1.00
2021,3,8,26,4,8/26/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1311,11.00,1435,2.00,0.00,,0.00,1.00
2021,3,8,27,5,8/27/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1316,16.00,1433,0.00,0.00,,0.00,1.00
2021,3,8,28,6,8/28/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1724,-1.00,1911,9.00,0.00,,0.00,1.00
2021,3,8,29,7,8/29/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1255,-5.00,1418,-15.00,0.00,,0.00,1.00
2021,3,8,30,1,8/30/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1255,-5.00,1420,-13.00,0.00,,0.00,1.00
2021,3,8,31,2,8/31/2021 12:00:00 AM,9E,4690,"Baltimore, MD",MD,"Detroit, MI",MI,1720,-5.00,1841,-21.00,0.00,,0.00,1.00
2021,3,8,1,7,8/1/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1027,-3.00,1152,-9.00,0.00,,0.00,1.00
2021,3,8,2,1,8/2/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1021,-9.00,1142,-19.00,0.00,,0.00,1.00
2021,3,8,3,2,8/3/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1028,-2.00,1150,-11.00,0.00,,0.00,1.00
2021,3,8,4,3,8/4/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1025,-5.00,1152,-9.00,0.00,,0.00,1.00
2021,3,8,5,4,8/5/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1025,-5.00,1145,-13.00,0.00,,0.00,1.00
2021,3,8,6,5,8/6/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1107,37.00,1234,36.00,0.00,,0.00,1.00
2021,3,8,7,6,8/7/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1434,4.00,1554,-6.00,0.00,,0.00,1.00
2021,3,8,8,7,8/8/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1032,2.00,1234,36.00,0.00,,0.00,1.00
2021,3,8,9,1,8/9/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1021,-9.00,1149,-9.00,0.00,,0.00,1.00
2021,3,8,10,2,8/10/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1437,7.00,1652,52.00,0.00,,0.00,1.00
2021,3,8,11,3,8/11/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1449,19.00,,,1.00,C,0.00,1.00
2021,3,8,12,4,8/12/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1300,150.00,1428,150.00,0.00,,0.00,1.00
2021,3,8,13,5,8/13/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1027,-3.00,1219,21.00,0.00,,0.00,1.00
2021,3,8,14,6,8/14/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1426,-4.00,1550,-10.00,0.00,,0.00,1.00
2021,3,8,15,7,8/15/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1109,39.00,1245,47.00,0.00,,0.00,1.00
2021,3,8,16,1,8/16/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1027,-3.00,1151,-7.00,0.00,,0.00,1.00
2021,3,8,17,2,8/17/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1425,-5.00,1538,-22.00,0.00,,0.00,1.00
2021,3,8,18,3,8/18/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1427,-3.00,1546,-14.00,0.00,,0.00,1.00
2021,3,8,19,4,8/19/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1026,-4.00,1155,-3.00,0.00,,0.00,1.00
2021,3,8,20,5,8/20/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1156,86.00,1312,74.00,0.00,,0.00,1.00
2021,3,8,21,6,8/21/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1425,-5.00,1550,-10.00,0.00,,0.00,1.00
2021,3,8,22,7,8/22/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1027,-3.00,1158,0.00,0.00,,0.00,1.00
2021,3,8,23,1,8/23/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1029,-1.00,1208,10.00,0.00,,0.00,1.00
2021,3,8,24,2,8/24/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1425,-5.00,1551,-9.00,0.00,,0.00,1.00
2021,3,8,25,3,8/25/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1430,0.00,1600,0.00,0.00,,0.00,1.00
2021,3,8,26,4,8/26/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1108,38.00,1232,34.00,0.00,,0.00,1.00
2021,3,8,27,5,8/27/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1044,14.00,1209,11.00,0.00,,0.00,1.00
2021,3,8,28,6,8/28/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1431,1.00,1553,-7.00,0.00,,0.00,1.00
2021,3,8,29,7,8/29/2021 12:00:00 AM,9E,4690,"Detroit, MI",MI,"Baltimore, MD",MD,1027,-3.00,1154,-4.00,0.00,,0.00,1.00
