YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,4,11,2,2,11/2/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2022,-8.00,2330,-11.00,0.00,,0.00,1.00
2021,4,11,3,3,11/3/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2023,-7.00,2321,-20.00,0.00,,0.00,1.00
2021,4,11,4,4,11/4/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2025,-5.00,2344,3.00,0.00,,0.00,1.00
2021,4,11,5,5,11/5/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2102,32.00,2348,7.00,0.00,,0.00,1.00
2021,4,11,6,6,11/6/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,1747,2.00,2028,-14.00,0.00,,0.00,1.00
2021,4,11,7,7,11/7/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2028,-2.00,2315,-26.00,0.00,,0.00,1.00
2021,4,11,8,1,11/8/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2049,19.00,0001,20.00,0.00,,0.00,1.00
2021,4,11,9,2,11/9/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2029,-1.00,2345,4.00,0.00,,0.00,1.00
2021,4,11,10,3,11/10/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2026,-4.00,2340,-1.00,0.00,,0.00,1.00
2021,4,11,11,4,11/11/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2138,68.00,0026,45.00,0.00,,0.00,1.00
2021,4,11,12,5,11/12/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2056,26.00,2345,4.00,0.00,,0.00,1.00
2021,4,11,13,6,11/13/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,1740,-5.00,2027,-15.00,0.00,,0.00,1.00
2021,4,11,14,7,11/14/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2038,8.00,2331,-10.00,0.00,,0.00,1.00
2021,4,11,15,1,11/15/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2028,-2.00,0005,24.00,0.00,,0.00,1.00
2021,4,11,16,2,11/16/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2026,-4.00,2334,-7.00,0.00,,0.00,1.00
2021,4,11,17,3,11/17/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2023,-7.00,2320,-21.00,0.00,,0.00,1.00
2021,4,11,18,4,11/18/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2004,-1.00,2258,-17.00,0.00,,0.00,1.00
2021,4,11,19,5,11/19/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2002,-3.00,2256,-19.00,0.00,,0.00,1.00
2021,4,11,20,6,11/20/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2001,-4.00,2236,-39.00,0.00,,0.00,1.00
2021,4,11,21,7,11/21/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2004,-1.00,2246,-29.00,0.00,,0.00,1.00
2021,4,11,22,1,11/22/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2002,-3.00,2249,-26.00,0.00,,0.00,1.00
2021,4,11,23,2,11/23/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2004,-1.00,2259,-16.00,0.00,,0.00,1.00
2021,4,11,24,3,11/24/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2003,-2.00,2304,-11.00,0.00,,0.00,1.00
2021,4,11,26,5,11/26/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2002,-3.00,2249,-26.00,0.00,,0.00,1.00
2021,4,11,27,6,11/27/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2013,8.00,2301,-14.00,0.00,,0.00,1.00
2021,4,11,28,7,11/28/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2016,11.00,2257,-18.00,0.00,,0.00,1.00
2021,4,11,29,1,11/29/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2003,-2.00,2301,-14.00,0.00,,0.00,1.00
2021,4,11,30,2,11/30/2021 12:00:00 AM,MQ,3582,"Chicago, IL",IL,"Baltimore, MD",MD,2010,5.00,2300,-15.00,0.00,,0.00,1.00
2021,4,11,3,3,11/3/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0558,-2.00,0705,-21.00,0.00,,0.00,1.00
2021,4,11,4,4,11/4/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0605,5.00,0726,0.00,0.00,,0.00,1.00
2021,4,11,5,5,11/5/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0615,15.00,0723,-3.00,0.00,,0.00,1.00
2021,4,11,6,6,11/6/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0558,-2.00,0701,-25.00,0.00,,0.00,1.00
2021,4,11,7,7,11/7/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0557,-3.00,0651,-35.00,0.00,,0.00,1.00
2021,4,11,8,1,11/8/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0601,1.00,0708,-18.00,0.00,,0.00,1.00
2021,4,11,9,2,11/9/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0554,-6.00,0713,-13.00,0.00,,0.00,1.00
2021,4,11,10,3,11/10/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0556,-4.00,0733,7.00,0.00,,0.00,1.00
2021,4,11,11,4,11/11/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0555,-5.00,0701,-25.00,0.00,,0.00,1.00
2021,4,11,12,5,11/12/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0612,12.00,0736,10.00,0.00,,0.00,1.00
2021,4,11,13,6,11/13/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0558,-2.00,0716,-10.00,0.00,,0.00,1.00
2021,4,11,14,7,11/14/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0621,21.00,0741,15.00,0.00,,0.00,1.00
2021,4,11,15,1,11/15/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0555,-5.00,0659,-27.00,0.00,,0.00,1.00
2021,4,11,16,2,11/16/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0554,-6.00,0715,-11.00,0.00,,0.00,1.00
2021,4,11,17,3,11/17/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0618,18.00,0720,-6.00,0.00,,0.00,1.00
2021,4,11,18,4,11/18/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0556,-4.00,0654,-32.00,0.00,,0.00,1.00
2021,4,11,19,5,11/19/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0553,-7.00,0703,-23.00,0.00,,0.00,1.00
2021,4,11,20,6,11/20/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0558,-2.00,0721,-5.00,0.00,,0.00,1.00
2021,4,11,21,7,11/21/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0601,1.00,0751,25.00,0.00,,0.00,1.00
2021,4,11,22,1,11/22/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0557,-3.00,0700,-26.00,0.00,,0.00,1.00
2021,4,11,23,2,11/23/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0556,-4.00,0702,-24.00,0.00,,0.00,1.00
2021,4,11,24,3,11/24/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0556,-4.00,0703,-23.00,0.00,,0.00,1.00
2021,4,11,25,4,11/25/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0559,-1.00,0659,-27.00,0.00,,0.00,1.00
2021,4,11,27,6,11/27/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0613,13.00,0730,4.00,0.00,,0.00,1.00
2021,4,11,28,7,11/28/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0555,-5.00,0701,-25.00,0.00,,0.00,1.00
2021,4,11,29,1,11/29/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0556,-4.00,0721,-5.00,0.00,,0.00,1.00
2021,4,11,30,2,11/30/2021 12:00:00 AM,MQ,3583,"Baltimore, MD",MD,"Chicago, IL",IL,0556,-4.00,0704,-22.00,0.00,,0.00,1.00
