YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,1,2,5,5,2/5/2021 12:00:00 AM,OO,5376,"Chicago, IL",IL,"Baltimore, MD",MD,1056,-4.00,1349,-11.00,0.00,,0.00,1.00
2021,1,2,7,7,2/7/2021 12:00:00 AM,OO,5375,"Baltimore, MD",MD,"Chicago, IL",IL,1539,24.00,1645,9.00,0.00,,0.00,1.00
2021,1,2,4,4,2/4/2021 12:00:00 AM,OO,5376,"Chicago, IL",IL,"Baltimore, MD",MD,1053,-7.00,1351,-9.00,0.00,,0.00,1.00
2021,1,2,5,5,2/5/2021 12:00:00 AM,OO,5375,"Baltimore, MD",MD,"Chicago, IL",IL,1511,-4.00,1617,-19.00,0.00,,0.00,1.00
2021,1,2,7,7,2/7/2021 12:00:00 AM,OO,5376,"Chicago, IL",IL,"Baltimore, MD",MD,1216,76.00,1510,70.00,0.00,,0.00,1.00
2021,1,2,4,4,2/4/2021 12:00:00 AM,OO,5375,"Baltimore, MD",MD,"Chicago, IL",IL,,,,,1.00,B,0.00,1.00
2021,1,2,28,7,2/28/2021 12:00:00 AM,UA,1177,"Chicago, IL",IL,"Baltimore, MD",MD,1815,0.00,2103,-5.00,0.00,,0.00,1.00
2021,1,2,28,7,2/28/2021 12:00:00 AM,UA,635,"Baltimore, MD",MD,"Chicago, IL",IL,0651,-9.00,0820,10.00,0.00,,0.00,1.00
2021,1,2,28,7,2/28/2021 12:00:00 AM,UA,494,"Denver, CO",CO,"Baltimore, MD",MD,1810,10.00,2309,-9.00,0.00,,0.00,1.00
2021,1,2,28,7,2/28/2021 12:00:00 AM,UA,270,"Baltimore, MD",MD,"Denver, CO",CO,0757,-3.00,1018,3.00,0.00,,0.00,1.00
2021,1,2,27,6,2/27/2021 12:00:00 AM,UA,1275,"Baltimore, MD",MD,"Chicago, IL",IL,1116,-14.00,1223,-20.00,0.00,,0.00,1.00
2021,1,2,27,6,2/27/2021 12:00:00 AM,UA,1177,"Chicago, IL",IL,"Baltimore, MD",MD,1907,52.00,2145,37.00,0.00,,0.00,1.00
2021,1,2,27,6,2/27/2021 12:00:00 AM,UA,494,"Denver, CO",CO,"Baltimore, MD",MD,1759,-1.00,2301,-17.00,0.00,,0.00,1.00
2021,1,2,27,6,2/27/2021 12:00:00 AM,UA,270,"Baltimore, MD",MD,"Denver, CO",CO,0755,-5.00,1016,1.00,0.00,,0.00,1.00
2021,1,2,26,5,2/26/2021 12:00:00 AM,UA,2273,"Denver, CO",CO,"Baltimore, MD",MD,1011,-4.00,1507,-26.00,0.00,,0.00,1.00
2021,1,2,26,5,2/26/2021 12:00:00 AM,UA,1177,"Chicago, IL",IL,"Baltimore, MD",MD,1835,20.00,2114,6.00,0.00,,0.00,1.00
2021,1,2,26,5,2/26/2021 12:00:00 AM,UA,635,"Baltimore, MD",MD,"Chicago, IL",IL,0739,39.00,0855,45.00,0.00,,0.00,1.00
2021,1,2,26,5,2/26/2021 12:00:00 AM,UA,270,"Baltimore, MD",MD,"Denver, CO",CO,0757,-3.00,1021,6.00,0.00,,0.00,1.00
2021,1,2,25,4,2/25/2021 12:00:00 AM,UA,2273,"Denver, CO",CO,"Baltimore, MD",MD,1010,-5.00,1518,-15.00,0.00,,0.00,1.00
2021,1,2,25,4,2/25/2021 12:00:00 AM,UA,1177,"Chicago, IL",IL,"Baltimore, MD",MD,1803,-12.00,2051,-17.00,0.00,,0.00,1.00
