YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1134,"Detroit, MI",MI,"Baltimore, MD",MD,2055,-10.00,2247,4.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1183,"Baltimore, MD",MD,"Minneapolis, MN",MN,0705,-10.00,0832,-30.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,1834,-6.00,2212,19.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1407,"Atlanta, GA",GA,"Baltimore, MD",MD,1545,4.00,1715,-9.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1411,"Atlanta, GA",GA,"Baltimore, MD",MD,0818,13.00,0956,10.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1411,"Baltimore, MD",MD,"Atlanta, GA",GA,1054,-7.00,1251,-4.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1414,"Atlanta, GA",GA,"Baltimore, MD",MD,2030,0.00,2154,-20.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1420,"Atlanta, GA",GA,"Baltimore, MD",MD,1210,-5.00,1336,-19.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1420,"Baltimore, MD",MD,"Atlanta, GA",GA,1653,-7.00,1843,-16.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,1429,"Baltimore, MD",MD,"Atlanta, GA",GA,0839,-6.00,1032,-10.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,2088,"Baltimore, MD",MD,"Minneapolis, MN",MN,1753,-6.00,1912,-37.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,2141,"Minneapolis, MN",MN,"Baltimore, MD",MD,1323,-7.00,1641,0.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,2142,"Atlanta, GA",GA,"Baltimore, MD",MD,1003,1.00,1141,-4.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,0554,-6.00,0749,-8.00,0.00,,0.00,1.00
2021,1,1,17,7,1/17/2021 12:00:00 AM,DL,2177,"Baltimore, MD",MD,"Atlanta, GA",GA,1257,-8.00,1456,-3.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,531,"Baltimore, MD",MD,"Salt Lake City, UT",UT,1800,4.00,2037,-23.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,796,"Salt Lake City, UT",UT,"Baltimore, MD",MD,1030,0.00,1618,-21.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,1005,"Baltimore, MD",MD,"Detroit, MI",MI,0553,-7.00,0721,-14.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,1134,"Detroit, MI",MI,"Baltimore, MD",MD,2056,-9.00,2239,-4.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,1183,"Baltimore, MD",MD,"Minneapolis, MN",MN,0746,31.00,0917,15.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,2031,-9.00,2344,-15.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,1407,"Atlanta, GA",GA,"Baltimore, MD",MD,1547,6.00,1728,4.00,0.00,,0.00,1.00
2021,1,1,18,1,1/18/2021 12:00:00 AM,DL,1407,"Baltimore, MD",MD,"Atlanta, GA",GA,1836,-8.00,2038,-7.00,0.00,,0.00,1.00
