YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,0529,-1.00,0705,-12.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2192,"Baltimore, MD",MD,"Minneapolis, MN",MN,0611,6.00,0731,-8.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2262,"Atlanta, GA",GA,"Baltimore, MD",MD,2219,-1.00,2354,-20.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2386,"Baltimore, MD",MD,"Atlanta, GA",GA,0656,-4.00,0838,-14.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2603,"Baltimore, MD",MD,"Detroit, MI",MI,0954,-3.00,1115,-6.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2603,"Detroit, MI",MI,"Baltimore, MD",MD,0703,-2.00,0831,-6.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2606,"Detroit, MI",MI,"Baltimore, MD",MD,2254,-4.00,0022,-5.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2828,"Baltimore, MD",MD,"Atlanta, GA",GA,1737,-3.00,1913,-27.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2830,"Atlanta, GA",GA,"Baltimore, MD",MD,1643,0.00,1839,0.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2830,"Baltimore, MD",MD,"Atlanta, GA",GA,2017,18.00,2154,-1.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2831,"Atlanta, GA",GA,"Baltimore, MD",MD,1155,-5.00,1336,-12.00,0.00,,0.00,1.00
2021,3,7,6,2,7/6/2021 12:00:00 AM,DL,2831,"Baltimore, MD",MD,"Atlanta, GA",GA,1504,-4.00,1642,-20.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,531,"Baltimore, MD",MD,"Salt Lake City, UT",UT,1841,-4.00,2112,-17.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,827,"Baltimore, MD",MD,"Atlanta, GA",GA,1325,-2.00,1506,-16.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,853,"Atlanta, GA",GA,"Baltimore, MD",MD,1023,-2.00,1156,-21.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,895,"Atlanta, GA",GA,"Baltimore, MD",MD,1413,0.00,1552,-13.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,1044,"Salt Lake City, UT",UT,"Baltimore, MD",MD,1001,2.00,1604,-8.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,1959,-1.00,2314,-20.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,1411,"Atlanta, GA",GA,"Baltimore, MD",MD,0807,-8.00,0959,-4.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,1411,"Baltimore, MD",MD,"Atlanta, GA",GA,1111,-2.00,1254,-8.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,1414,"Atlanta, GA",GA,"Baltimore, MD",MD,1935,-3.00,2116,-18.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,1764,"Baltimore, MD",MD,"Detroit, MI",MI,0558,-2.00,0725,0.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2130,"Baltimore, MD",MD,"Minneapolis, MN",MN,1834,66.00,2031,78.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2130,"Minneapolis, MN",MN,"Baltimore, MD",MD,1242,-3.00,1613,-5.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,0534,4.00,0721,4.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2192,"Baltimore, MD",MD,"Minneapolis, MN",MN,0555,-5.00,0714,-20.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2262,"Atlanta, GA",GA,"Baltimore, MD",MD,2235,-1.00,0013,-17.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2386,"Baltimore, MD",MD,"Atlanta, GA",GA,0702,-4.00,0855,-3.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2603,"Baltimore, MD",MD,"Detroit, MI",MI,0953,-2.00,1118,-1.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2603,"Detroit, MI",MI,"Baltimore, MD",MD,0710,0.00,0841,-1.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2606,"Detroit, MI",MI,"Baltimore, MD",MD,2255,-4.00,0021,-8.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2828,"Baltimore, MD",MD,"Atlanta, GA",GA,1732,17.00,1919,5.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2830,"Atlanta, GA",GA,"Baltimore, MD",MD,1638,8.00,1813,-13.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2830,"Baltimore, MD",MD,"Atlanta, GA",GA,1937,1.00,2115,-18.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2831,"Atlanta, GA",GA,"Baltimore, MD",MD,1213,-2.00,1352,-11.00,0.00,,0.00,1.00
2021,3,7,7,3,7/7/2021 12:00:00 AM,DL,2831,"Baltimore, MD",MD,"Atlanta, GA",GA,1510,-3.00,1652,-15.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,531,"Baltimore, MD",MD,"Salt Lake City, UT",UT,1838,-7.00,2105,-24.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,1764,"Baltimore, MD",MD,"Detroit, MI",MI,0557,-3.00,0716,-8.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2130,"Baltimore, MD",MD,"Minneapolis, MN",MN,1726,-2.00,1849,-24.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2130,"Minneapolis, MN",MN,"Baltimore, MD",MD,1241,-4.00,1557,-21.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,0529,-1.00,0711,-6.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2192,"Baltimore, MD",MD,"Minneapolis, MN",MN,0602,2.00,0722,-12.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2262,"Atlanta, GA",GA,"Baltimore, MD",MD,2244,8.00,0043,13.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2386,"Baltimore, MD",MD,"Atlanta, GA",GA,0703,-3.00,0850,-8.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2603,"Baltimore, MD",MD,"Detroit, MI",MI,1010,15.00,1135,16.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2603,"Detroit, MI",MI,"Baltimore, MD",MD,0710,0.00,0835,-7.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2606,"Detroit, MI",MI,"Baltimore, MD",MD,2301,2.00,0024,-5.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2828,"Baltimore, MD",MD,"Atlanta, GA",GA,1713,-2.00,1900,-14.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2830,"Atlanta, GA",GA,"Baltimore, MD",MD,1628,-2.00,1810,-16.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2830,"Baltimore, MD",MD,"Atlanta, GA",GA,1931,-5.00,2107,-26.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2831,"Atlanta, GA",GA,"Baltimore, MD",MD,1221,6.00,1401,-2.00,0.00,,0.00,1.00
2021,3,7,18,7,7/18/2021 12:00:00 AM,DL,2831,"Baltimore, MD",MD,"Atlanta, GA",GA,1510,-3.00,1700,-7.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,531,"Baltimore, MD",MD,"Salt Lake City, UT",UT,1843,-2.00,2051,-38.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,827,"Baltimore, MD",MD,"Atlanta, GA",GA,1334,7.00,1528,6.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,853,"Atlanta, GA",GA,"Baltimore, MD",MD,1025,0.00,1211,-6.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,895,"Atlanta, GA",GA,"Baltimore, MD",MD,1413,0.00,1551,-14.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,1044,"Salt Lake City, UT",UT,"Baltimore, MD",MD,0957,-2.00,1607,-5.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,2018,18.00,2343,9.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,1411,"Atlanta, GA",GA,"Baltimore, MD",MD,0816,1.00,1012,9.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,1411,"Baltimore, MD",MD,"Atlanta, GA",GA,1120,7.00,1308,6.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,1414,"Atlanta, GA",GA,"Baltimore, MD",MD,1950,12.00,2129,-5.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,1764,"Baltimore, MD",MD,"Detroit, MI",MI,0602,2.00,0722,-2.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2130,"Baltimore, MD",MD,"Minneapolis, MN",MN,1727,-1.00,1844,-29.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2130,"Minneapolis, MN",MN,"Baltimore, MD",MD,1242,-3.00,1603,-15.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,1705,695.00,1845,688.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2192,"Baltimore, MD",MD,"Minneapolis, MN",MN,0601,1.00,0723,-11.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2262,"Atlanta, GA",GA,"Baltimore, MD",MD,2238,2.00,0026,-4.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2386,"Baltimore, MD",MD,"Atlanta, GA",GA,0728,22.00,0910,12.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2603,"Baltimore, MD",MD,"Detroit, MI",MI,1002,7.00,1118,-1.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2603,"Detroit, MI",MI,"Baltimore, MD",MD,0715,5.00,0838,-4.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2606,"Detroit, MI",MI,"Baltimore, MD",MD,2300,1.00,0023,-6.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2828,"Baltimore, MD",MD,"Atlanta, GA",GA,1715,0.00,1853,-21.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2830,"Atlanta, GA",GA,"Baltimore, MD",MD,1631,1.00,1819,-7.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2830,"Baltimore, MD",MD,"Atlanta, GA",GA,1931,-5.00,2108,-25.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2831,"Atlanta, GA",GA,"Baltimore, MD",MD,1210,-5.00,1357,-6.00,0.00,,0.00,1.00
2021,3,7,19,1,7/19/2021 12:00:00 AM,DL,2831,"Baltimore, MD",MD,"Atlanta, GA",GA,1511,-2.00,1652,-15.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,531,"Baltimore, MD",MD,"Salt Lake City, UT",UT,1844,-1.00,2048,-41.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,827,"Baltimore, MD",MD,"Atlanta, GA",GA,1338,11.00,1515,-7.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,853,"Atlanta, GA",GA,"Baltimore, MD",MD,1039,14.00,1221,4.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,895,"Atlanta, GA",GA,"Baltimore, MD",MD,1413,0.00,1603,-2.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,1044,"Salt Lake City, UT",UT,"Baltimore, MD",MD,0959,0.00,1601,-11.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,2004,4.00,2322,-12.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,1411,"Atlanta, GA",GA,"Baltimore, MD",MD,0813,-2.00,1004,1.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,1411,"Baltimore, MD",MD,"Atlanta, GA",GA,1113,0.00,1250,-12.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,1414,"Atlanta, GA",GA,"Baltimore, MD",MD,1937,-1.00,2118,-16.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,1764,"Baltimore, MD",MD,"Detroit, MI",MI,0555,-5.00,0711,-13.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2130,"Baltimore, MD",MD,"Minneapolis, MN",MN,1726,-2.00,1849,-24.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2130,"Minneapolis, MN",MN,"Baltimore, MD",MD,1249,4.00,1610,-8.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,0538,8.00,0715,-2.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2192,"Baltimore, MD",MD,"Minneapolis, MN",MN,0600,0.00,0718,-16.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2262,"Atlanta, GA",GA,"Baltimore, MD",MD,2236,0.00,0010,-20.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2386,"Baltimore, MD",MD,"Atlanta, GA",GA,0705,-1.00,0850,-8.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2603,"Baltimore, MD",MD,"Detroit, MI",MI,0947,-8.00,1109,-10.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2603,"Detroit, MI",MI,"Baltimore, MD",MD,0702,-8.00,0829,-13.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2606,"Detroit, MI",MI,"Baltimore, MD",MD,2337,38.00,0101,32.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2828,"Baltimore, MD",MD,"Atlanta, GA",GA,1714,-1.00,1853,-21.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2830,"Atlanta, GA",GA,"Baltimore, MD",MD,1637,7.00,1822,-4.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2830,"Baltimore, MD",MD,"Atlanta, GA",GA,1941,5.00,2123,-10.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2831,"Atlanta, GA",GA,"Baltimore, MD",MD,1210,-5.00,1348,-15.00,0.00,,0.00,1.00
2021,3,7,20,2,7/20/2021 12:00:00 AM,DL,2831,"Baltimore, MD",MD,"Atlanta, GA",GA,1513,0.00,1649,-18.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,531,"Baltimore, MD",MD,"Salt Lake City, UT",UT,1852,7.00,2110,-19.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,827,"Baltimore, MD",MD,"Atlanta, GA",GA,1327,0.00,1512,-10.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,853,"Atlanta, GA",GA,"Baltimore, MD",MD,1023,-2.00,1215,-2.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,895,"Atlanta, GA",GA,"Baltimore, MD",MD,1408,-5.00,1552,-13.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,1044,"Salt Lake City, UT",UT,"Baltimore, MD",MD,0955,-4.00,1612,0.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,2008,8.00,2328,-6.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,1411,"Atlanta, GA",GA,"Baltimore, MD",MD,0815,0.00,1010,7.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,1411,"Baltimore, MD",MD,"Atlanta, GA",GA,1113,0.00,1253,-9.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,1414,"Atlanta, GA",GA,"Baltimore, MD",MD,1934,-4.00,2116,-18.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,1764,"Baltimore, MD",MD,"Detroit, MI",MI,0558,-2.00,0719,-4.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2130,"Baltimore, MD",MD,"Minneapolis, MN",MN,1727,-1.00,1854,-19.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2130,"Minneapolis, MN",MN,"Baltimore, MD",MD,1247,2.00,1602,-16.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,0531,1.00,0708,-9.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2192,"Baltimore, MD",MD,"Minneapolis, MN",MN,0606,6.00,0729,-5.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2262,"Atlanta, GA",GA,"Baltimore, MD",MD,2249,13.00,0029,-1.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2386,"Baltimore, MD",MD,"Atlanta, GA",GA,0703,-3.00,0845,-13.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2603,"Baltimore, MD",MD,"Detroit, MI",MI,0951,-4.00,1112,-7.00,0.00,,0.00,1.00
2021,3,7,21,3,7/21/2021 12:00:00 AM,DL,2603,"Detroit, MI",MI,"Baltimore, MD",MD,0704,-6.00,0824,-18.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,827,"Baltimore, MD",MD,"Atlanta, GA",GA,1327,0.00,1531,9.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,853,"Atlanta, GA",GA,"Baltimore, MD",MD,1038,13.00,1221,4.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,895,"Atlanta, GA",GA,"Baltimore, MD",MD,1412,-1.00,1615,10.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,1044,"Salt Lake City, UT",UT,"Baltimore, MD",MD,1000,1.00,1616,4.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,2003,3.00,2314,-20.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,1411,"Atlanta, GA",GA,"Baltimore, MD",MD,0814,-1.00,1005,2.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,1411,"Baltimore, MD",MD,"Atlanta, GA",GA,1110,-3.00,1250,-12.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,1414,"Atlanta, GA",GA,"Baltimore, MD",MD,2035,57.00,2217,43.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,1764,"Baltimore, MD",MD,"Detroit, MI",MI,0555,-5.00,0717,-7.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2130,"Baltimore, MD",MD,"Minneapolis, MN",MN,1727,-1.00,1916,3.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2130,"Minneapolis, MN",MN,"Baltimore, MD",MD,1242,-3.00,1606,-12.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2173,"Baltimore, MD",MD,"Atlanta, GA",GA,0528,-2.00,0700,-17.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2192,"Baltimore, MD",MD,"Minneapolis, MN",MN,0556,-4.00,0728,-6.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2262,"Atlanta, GA",GA,"Baltimore, MD",MD,2242,6.00,0022,-8.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2386,"Baltimore, MD",MD,"Atlanta, GA",GA,0703,-3.00,0850,-8.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2603,"Baltimore, MD",MD,"Detroit, MI",MI,1004,9.00,1130,11.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2603,"Detroit, MI",MI,"Baltimore, MD",MD,0704,-6.00,0829,-13.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2606,"Detroit, MI",MI,"Baltimore, MD",MD,0001,62.00,0117,48.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2828,"Baltimore, MD",MD,"Atlanta, GA",GA,1713,-2.00,1900,-14.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2830,"Atlanta, GA",GA,"Baltimore, MD",MD,1635,5.00,1820,-6.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2830,"Baltimore, MD",MD,"Atlanta, GA",GA,1935,-1.00,2217,44.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2831,"Atlanta, GA",GA,"Baltimore, MD",MD,1250,35.00,1441,38.00,0.00,,0.00,1.00
2021,3,7,8,4,7/8/2021 12:00:00 AM,DL,2831,"Baltimore, MD",MD,"Atlanta, GA",GA,1553,40.00,1746,39.00,0.00,,0.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,531,"Baltimore, MD",MD,"Salt Lake City, UT",UT,1849,4.00,2130,1.00,0.00,,0.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,827,"Baltimore, MD",MD,"Atlanta, GA",GA,1408,41.00,1656,94.00,0.00,,0.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,853,"Atlanta, GA",GA,"Baltimore, MD",MD,1023,-2.00,1209,-8.00,0.00,,0.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,895,"Atlanta, GA",GA,"Baltimore, MD",MD,1420,7.00,1840,,0.00,,1.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,1044,"Salt Lake City, UT",UT,"Baltimore, MD",MD,0954,-5.00,1550,-22.00,0.00,,0.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,1205,"Minneapolis, MN",MN,"Baltimore, MD",MD,1958,-2.00,2324,-10.00,0.00,,0.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,1411,"Atlanta, GA",GA,"Baltimore, MD",MD,0814,-1.00,0957,-6.00,0.00,,0.00,1.00
2021,3,7,9,5,7/9/2021 12:00:00 AM,DL,1411,"Baltimore, MD",MD,"Atlanta, GA",GA,1108,-5.00,1248,-14.00,0.00,,0.00,1.00
