YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,2,6,1,2,6/1/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2247,-5.00,2357,-22.00,0.00,,0.00,1.00
2021,2,6,2,3,6/2/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2309,17.00,0026,7.00,0.00,,0.00,1.00
2021,2,6,3,4,6/3/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2247,13.00,0002,3.00,0.00,,0.00,1.00
2021,2,6,4,5,6/4/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2227,-7.00,2346,-13.00,0.00,,0.00,1.00
2021,2,6,5,6,6/5/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2248,14.00,0001,2.00,0.00,,0.00,1.00
2021,2,6,6,7,6/6/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2259,25.00,0010,11.00,0.00,,0.00,1.00
2021,2,6,7,1,6/7/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,0140,186.00,0245,166.00,0.00,,0.00,1.00
2021,2,6,8,2,6/8/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,,,,,1.00,A,0.00,1.00
2021,2,6,9,3,6/9/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2246,12.00,0002,3.00,0.00,,0.00,1.00
2021,2,6,10,4,6/10/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2228,-6.00,2345,-14.00,0.00,,0.00,1.00
2021,2,6,11,5,6/11/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,,,,,1.00,A,0.00,1.00
2021,2,6,12,6,6/12/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2310,36.00,0027,28.00,0.00,,0.00,1.00
2021,2,6,13,7,6/13/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2234,0.00,2358,-1.00,0.00,,0.00,1.00
2021,2,6,14,1,6/14/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2353,79.00,0112,73.00,0.00,,0.00,1.00
2021,2,6,15,2,6/15/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2231,-3.00,2356,-3.00,0.00,,0.00,1.00
2021,2,6,16,3,6/16/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2234,0.00,2351,-8.00,0.00,,0.00,1.00
2021,2,6,17,4,6/17/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2230,-4.00,2347,-12.00,0.00,,0.00,1.00
2021,2,6,18,5,6/18/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2240,6.00,2349,-10.00,0.00,,0.00,1.00
2021,2,6,19,6,6/19/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,,,,,1.00,A,0.00,1.00
2021,2,6,20,7,6/20/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2241,7.00,2354,-5.00,0.00,,0.00,1.00
2021,2,6,21,1,6/21/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2311,37.00,0032,33.00,0.00,,0.00,1.00
2021,2,6,22,2,6/22/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2246,12.00,0008,9.00,0.00,,0.00,1.00
2021,2,6,23,3,6/23/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2234,0.00,2350,-9.00,0.00,,0.00,1.00
2021,2,6,24,4,6/24/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2247,13.00,0001,2.00,0.00,,0.00,1.00
2021,2,6,25,5,6/25/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2231,-3.00,2346,-13.00,0.00,,0.00,1.00
2021,2,6,26,6,6/26/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2252,18.00,0002,3.00,0.00,,0.00,1.00
2021,2,6,27,7,6/27/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2231,-3.00,2351,-8.00,0.00,,0.00,1.00
2021,2,6,28,1,6/28/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2235,1.00,2358,-1.00,0.00,,0.00,1.00
2021,2,6,29,2,6/29/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,2239,5.00,2354,-5.00,0.00,,0.00,1.00
2021,2,6,30,3,6/30/2021 12:00:00 AM,AA,2799,"Charlotte, NC",NC,"Baltimore, MD",MD,0049,135.00,0204,125.00,0.00,,0.00,1.00
2021,2,6,1,2,6/1/2021 12:00:00 AM,AA,2880,"Baltimore, MD",MD,"Miami, FL",FL,0810,-5.00,1051,-17.00,0.00,,0.00,1.00
2021,2,6,2,3,6/2/2021 12:00:00 AM,AA,2880,"Baltimore, MD",MD,"Miami, FL",FL,0813,-2.00,1050,-18.00,0.00,,0.00,1.00
2021,2,6,1,2,6/1/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0802,-6.00,0922,-28.00,0.00,,0.00,1.00
2021,2,6,2,3,6/2/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0803,-5.00,0921,-29.00,0.00,,0.00,1.00
2021,2,6,3,4,6/3/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0848,53.00,1044,72.00,0.00,,0.00,1.00
2021,2,6,4,5,6/4/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,1051,154.00,1237,157.00,0.00,,0.00,1.00
2021,2,6,5,6,6/5/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0820,3.00,0948,-12.00,0.00,,0.00,1.00
2021,2,6,6,7,6/6/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0809,-8.00,0924,-36.00,0.00,,0.00,1.00
2021,2,6,7,1,6/7/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,1052,155.00,1216,136.00,0.00,,0.00,1.00
2021,2,6,8,2,6/8/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0812,-5.00,0929,-31.00,0.00,,0.00,1.00
2021,2,6,9,3,6/9/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0812,-5.00,0931,-29.00,0.00,,0.00,1.00
2021,2,6,10,4,6/10/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0826,9.00,1006,6.00,0.00,,0.00,1.00
2021,2,6,11,5,6/11/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0836,19.00,1013,13.00,0.00,,0.00,1.00
2021,2,6,12,6,6/12/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0817,0.00,0939,-21.00,0.00,,0.00,1.00
2021,2,6,13,7,6/13/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0814,-3.00,0933,-27.00,0.00,,0.00,1.00
2021,2,6,14,1,6/14/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0816,-1.00,0945,-15.00,0.00,,0.00,1.00
2021,2,6,15,2,6/15/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0818,1.00,0959,-1.00,0.00,,0.00,1.00
2021,2,6,16,3,6/16/2021 12:00:00 AM,AA,609,"Baltimore, MD",MD,"Charlotte, NC",NC,0814,-3.00,0956,-4.00,0.00,,0.00,1.00
