YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,1,3,24,3,3/24/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,1227,-3.00,1346,3.00,0.00,,0.00,1.00
2021,1,3,25,4,3/25/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,0900,-1.00,1024,7.00,0.00,,0.00,1.00
2021,1,3,26,5,3/26/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,1332,-7.00,1451,-2.00,0.00,,0.00,1.00
2021,1,3,27,6,3/27/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,1221,-9.00,1336,-7.00,0.00,,0.00,1.00
2021,1,3,28,7,3/28/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,0856,-5.00,1019,2.00,0.00,,0.00,1.00
2021,1,3,29,1,3/29/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,1333,-6.00,1446,-7.00,0.00,,0.00,1.00
2021,1,3,30,2,3/30/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,1152,-4.00,1310,0.00,0.00,,0.00,1.00
2021,1,3,31,3,3/31/2021 12:00:00 AM,NK,120,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,1222,-8.00,1342,-1.00,0.00,,0.00,1.00
2021,1,3,4,4,3/4/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1050,-7.00,1209,-10.00,0.00,,0.00,1.00
2021,1,3,7,7,3/7/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1054,-3.00,1216,-3.00,0.00,,0.00,1.00
2021,1,3,9,2,3/9/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1237,-15.00,1356,-24.00,0.00,,0.00,1.00
2021,1,3,10,3,3/10/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0952,-13.00,1115,-12.00,0.00,,0.00,1.00
2021,1,3,11,4,3/11/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1101,-6.00,1217,-13.00,0.00,,0.00,1.00
2021,1,3,12,5,3/12/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0950,-15.00,1109,-18.00,0.00,,0.00,1.00
2021,1,3,13,6,3/13/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0952,-13.00,1122,-5.00,0.00,,0.00,1.00
2021,1,3,14,7,3/14/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1104,-3.00,1221,-9.00,0.00,,0.00,1.00
2021,1,3,15,1,3/15/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0958,-7.00,1118,-9.00,0.00,,0.00,1.00
2021,1,3,16,2,3/16/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0923,-9.00,1046,-14.00,0.00,,0.00,1.00
2021,1,3,17,3,3/17/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0958,-7.00,1118,-9.00,0.00,,0.00,1.00
2021,1,3,18,4,3/18/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1100,-7.00,1217,-13.00,0.00,,0.00,1.00
2021,1,3,19,5,3/19/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1037,32.00,1151,24.00,0.00,,0.00,1.00
2021,1,3,20,6,3/20/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0958,-7.00,1118,-9.00,0.00,,0.00,1.00
2021,1,3,21,7,3/21/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1118,11.00,1233,3.00,0.00,,0.00,1.00
2021,1,3,22,1,3/22/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1022,17.00,1143,16.00,0.00,,0.00,1.00
2021,1,3,23,2,3/23/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0940,8.00,1057,-3.00,0.00,,0.00,1.00
2021,1,3,24,3,3/24/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0956,-9.00,1113,-14.00,0.00,,0.00,1.00
2021,1,3,25,4,3/25/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1059,-8.00,1220,-10.00,0.00,,0.00,1.00
2021,1,3,26,5,3/26/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0955,-10.00,1111,-16.00,0.00,,0.00,1.00
2021,1,3,27,6,3/27/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0959,-6.00,1116,-11.00,0.00,,0.00,1.00
2021,1,3,28,7,3/28/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1112,5.00,1228,-2.00,0.00,,0.00,1.00
2021,1,3,29,1,3/29/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1003,-2.00,1120,-7.00,0.00,,0.00,1.00
2021,1,3,30,2,3/30/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,0926,-6.00,1043,-17.00,0.00,,0.00,1.00
2021,1,3,31,3,3/31/2021 12:00:00 AM,NK,121,"Myrtle Beach, SC",SC,"Baltimore, MD",MD,1000,-5.00,1119,-8.00,0.00,,0.00,1.00
2021,1,3,10,3,3/10/2021 12:00:00 AM,NK,103,"Baltimore, MD",MD,"Myrtle Beach, SC",SC,0454,-6.00,0614,-3.00,0.00,,0.00,1.00
2021,1,3,1,1,3/1/2021 12:00:00 AM,NK,305,"Baltimore, MD",MD,"Fort Lauderdale, FL",FL,0705,-1.00,0930,-13.00,0.00,,0.00,1.00
2021,1,3,2,2,3/2/2021 12:00:00 AM,NK,305,"Baltimore, MD",MD,"Fort Lauderdale, FL",FL,0706,0.00,0950,7.00,0.00,,0.00,1.00
2021,1,3,3,3,3/3/2021 12:00:00 AM,NK,305,"Baltimore, MD",MD,"Fort Lauderdale, FL",FL,0704,-2.00,0942,-1.00,0.00,,0.00,1.00
2021,1,3,4,4,3/4/2021 12:00:00 AM,NK,305,"Baltimore, MD",MD,"Fort Lauderdale, FL",FL,0712,6.00,0931,-12.00,0.00,,0.00,1.00
