YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,2,5,1,6,5/1/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1204,-5.00,1331,-19.00,0.00,,0.00,1.00
2021,2,5,2,7,5/2/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1159,-10.00,1326,-24.00,0.00,,0.00,1.00
2021,2,5,3,1,5/3/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1142,-8.00,1334,4.00,0.00,,0.00,1.00
2021,2,5,4,2,5/4/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1147,-3.00,1319,-11.00,0.00,,0.00,1.00
2021,2,5,5,3,5/5/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1142,-8.00,1324,-6.00,0.00,,0.00,1.00
2021,2,5,6,4,5/6/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1214,-6.00,1345,-13.00,0.00,,0.00,1.00
2021,2,5,7,5,5/7/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1213,-7.00,1342,-16.00,0.00,,0.00,1.00
2021,2,5,8,6,5/8/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1214,-6.00,1334,-24.00,0.00,,0.00,1.00
2021,2,5,9,7,5/9/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1215,-5.00,1401,3.00,0.00,,0.00,1.00
2021,2,5,10,1,5/10/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1212,-8.00,1344,-14.00,0.00,,0.00,1.00
2021,2,5,11,2,5/11/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1216,-4.00,1344,-14.00,0.00,,0.00,1.00
2021,2,5,12,3,5/12/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1214,-6.00,1349,-9.00,0.00,,0.00,1.00
2021,2,5,13,4,5/13/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1217,-3.00,1348,-10.00,0.00,,0.00,1.00
2021,2,5,14,5,5/14/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1217,-3.00,1351,-7.00,0.00,,0.00,1.00
2021,2,5,15,6,5/15/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1215,-5.00,1341,-17.00,0.00,,0.00,1.00
2021,2,5,16,7,5/16/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1210,-10.00,1334,-24.00,0.00,,0.00,1.00
2021,2,5,17,1,5/17/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1220,0.00,1339,-19.00,0.00,,0.00,1.00
2021,2,5,18,2,5/18/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1213,-7.00,1336,-22.00,0.00,,0.00,1.00
2021,2,5,19,3,5/19/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1207,-13.00,1321,-37.00,0.00,,0.00,1.00
2021,2,5,20,4,5/20/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1212,-8.00,1356,-2.00,0.00,,0.00,1.00
2021,2,5,21,5,5/21/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1207,-13.00,1320,-38.00,0.00,,0.00,1.00
2021,2,5,22,6,5/22/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1209,-11.00,1327,-31.00,0.00,,0.00,1.00
2021,2,5,23,7,5/23/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1342,82.00,1504,66.00,0.00,,0.00,1.00
2021,2,5,24,1,5/24/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1209,-11.00,1334,-24.00,0.00,,0.00,1.00
2021,2,5,25,2,5/25/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1211,-9.00,1338,-20.00,0.00,,0.00,1.00
2021,2,5,26,3,5/26/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1214,-6.00,1337,-21.00,0.00,,0.00,1.00
2021,2,5,27,4,5/27/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1215,-5.00,1349,-9.00,0.00,,0.00,1.00
2021,2,5,28,5,5/28/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1213,-7.00,1349,-9.00,0.00,,0.00,1.00
2021,2,5,29,6,5/29/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1214,-6.00,1358,0.00,0.00,,0.00,1.00
2021,2,5,30,7,5/30/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1213,-7.00,1343,-15.00,0.00,,0.00,1.00
2021,2,5,31,1,5/31/2021 12:00:00 AM,OH,5278,"Baltimore, MD",MD,"Charlotte, NC",NC,1214,-6.00,1349,-9.00,0.00,,0.00,1.00
2021,2,5,1,6,5/1/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0929,-1.00,1053,-16.00,0.00,,0.00,1.00
2021,2,5,2,7,5/2/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0928,-2.00,1101,-8.00,0.00,,0.00,1.00
2021,2,5,3,1,5/3/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0923,-7.00,1046,-23.00,0.00,,0.00,1.00
2021,2,5,4,2,5/4/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0926,-4.00,1059,-10.00,0.00,,0.00,1.00
2021,2,5,5,3,5/5/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0922,-8.00,1105,-4.00,0.00,,0.00,1.00
2021,2,5,6,4,5/6/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0954,-1.00,1121,-11.00,0.00,,0.00,1.00
2021,2,5,7,5,5/7/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0947,-8.00,1110,-22.00,0.00,,0.00,1.00
2021,2,5,8,6,5/8/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,1001,6.00,1130,-2.00,0.00,,0.00,1.00
2021,2,5,9,7,5/9/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0956,1.00,1117,-15.00,0.00,,0.00,1.00
2021,2,5,10,1,5/10/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0945,-10.00,1105,-27.00,0.00,,0.00,1.00
2021,2,5,11,2,5/11/2021 12:00:00 AM,OH,5656,"Charlotte, NC",NC,"Baltimore, MD",MD,0948,-7.00,1110,-22.00,0.00,,0.00,1.00
