YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,1351,"Baltimore, MD",MD,"St. Louis, MO",MO,1527,22.00,1643,18.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,1533,"Baltimore, MD",MD,"St. Louis, MO",MO,0834,14.00,1003,13.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,356,"Baltimore, MD",MD,"Syracuse, NY",NY,1416,-4.00,1519,-11.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,782,"Baltimore, MD",MD,"Syracuse, NY",NY,1000,0.00,1103,-12.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,4775,"Baltimore, MD",MD,"Syracuse, NY",NY,2208,3.00,2304,-16.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,1007,"Baltimore, MD",MD,"Tampa, FL",FL,1010,5.00,1226,-9.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,3956,"Baltimore, MD",MD,"Tampa, FL",FL,2034,49.00,2317,62.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,5221,"Baltimore, MD",MD,"Tampa, FL",FL,1430,5.00,1645,-10.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,1624,"Charleston, SC",SC,"Baltimore, MD",MD,0758,-2.00,0927,2.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,4407,"Charleston, SC",SC,"Baltimore, MD",MD,1119,-6.00,1236,-14.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,5506,"Charleston, SC",SC,"Baltimore, MD",MD,1745,-5.00,1916,-4.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,2248,"Cleveland, OH",OH,"Baltimore, MD",MD,0608,3.00,0713,-17.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,5679,"Cleveland, OH",OH,"Baltimore, MD",MD,1828,133.00,1935,120.00,0.00,,0.00,1.00
2021,4,12,11,6,12/11/2021 12:00:00 AM,WN,526,"Charlotte, NC",NC,"Baltimore, MD",MD,0810,-5.00,0931,-19.00,0.00,,0.00,1.00
