YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,FLIGHTS
2021,3,9,20,1,9/20/2021 12:00:00 AM,OO,3070,"Baltimore, MD",MD,"Chicago, IL",IL,1436,89.00,1538,68.00,0.00,,0.00,1.00
2021,3,9,20,1,9/20/2021 12:00:00 AM,OO,3070,"Chicago, IL",IL,"Baltimore, MD",MD,1101,91.00,1405,88.00,0.00,,0.00,1.00
2021,3,9,13,1,9/13/2021 12:00:00 AM,OO,3070,"Baltimore, MD",MD,"Chicago, IL",IL,1315,8.00,1429,-1.00,0.00,,0.00,1.00
2021,3,9,13,1,9/13/2021 12:00:00 AM,OO,3070,"Chicago, IL",IL,"Baltimore, MD",MD,0945,15.00,1246,9.00,0.00,,0.00,1.00
2021,3,9,14,2,9/14/2021 12:00:00 AM,OO,3070,"Chicago, IL",IL,"Baltimore, MD",MD,0930,0.00,1240,3.00,0.00,,0.00,1.00
2021,3,9,6,1,9/6/2021 12:00:00 AM,OO,3086,"Baltimore, MD",MD,"Chicago, IL",IL,1653,-5.00,1812,-13.00,0.00,,0.00,1.00
2021,3,9,5,7,9/5/2021 12:00:00 AM,OO,3086,"Baltimore, MD",MD,"Chicago, IL",IL,1648,-10.00,1812,-13.00,0.00,,0.00,1.00
2021,3,9,5,7,9/5/2021 12:00:00 AM,OO,3086,"Chicago, IL",IL,"Baltimore, MD",MD,1320,-10.00,1557,-30.00,0.00,,0.00,1.00
2021,3,9,5,7,9/5/2021 12:00:00 AM,OO,3151,"Chicago, IL",IL,"Baltimore, MD",MD,0927,-3.00,1211,-26.00,0.00,,0.00,1.00
2021,3,9,17,5,9/17/2021 12:00:00 AM,OO,3070,"Baltimore, MD",MD,"Chicago, IL",IL,1317,10.00,1420,-10.00,0.00,,0.00,1.00
2021,3,9,17,5,9/17/2021 12:00:00 AM,OO,3070,"Chicago, IL",IL,"Baltimore, MD",MD,0929,-1.00,1248,11.00,0.00,,0.00,1.00
2021,3,9,18,6,9/18/2021 12:00:00 AM,OO,3070,"Baltimore, MD",MD,"Chicago, IL",IL,1257,-10.00,1359,-31.00,0.00,,0.00,1.00
2021,3,9,18,6,9/18/2021 12:00:00 AM,OO,3164,"Baltimore, MD",MD,"Chicago, IL",IL,1833,201.00,1940,183.00,0.00,,0.00,1.00
2021,3,9,19,7,9/19/2021 12:00:00 AM,OO,3070,"Baltimore, MD",MD,"Chicago, IL",IL,1258,-9.00,1423,-7.00,0.00,,0.00,1.00
2021,3,9,19,7,9/19/2021 12:00:00 AM,OO,3070,"Chicago, IL",IL,"Baltimore, MD",MD,0926,-4.00,1224,-13.00,0.00,,0.00,1.00
2021,3,9,15,3,9/15/2021 12:00:00 AM,OO,3070,"Chicago, IL",IL,"Baltimore, MD",MD,0927,-3.00,1216,-21.00,0.00,,0.00,1.00
2021,3,9,9,4,9/9/2021 12:00:00 AM,OO,3070,"Chicago, IL",IL,"Baltimore, MD",MD,0926,-4.00,1220,-17.00,0.00,,0.00,1.00
