,submission_date,state,tot_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at
38716,2020-01-22,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
37386,2020-01-23,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39902,2020-01-24,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39209,2020-01-25,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
35083,2020-01-26,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
38746,2020-01-27,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39576,2020-01-28,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
21191,2020-01-29,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
36282,2020-01-30,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39422,2020-01-31,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
38754,2020-02-01,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39395,2020-02-02,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
22986,2020-02-03,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
38541,2020-02-04,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39614,2020-02-05,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
23227,2020-02-06,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
36288,2020-02-07,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
20230,2020-02-08,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
24363,2020-02-09,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
37280,2020-02-10,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
23182,2020-02-11,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
22182,2020-02-12,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
36304,2020-02-13,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39093,2020-02-14,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
22591,2020-02-15,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
23881,2020-02-16,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39900,2020-02-17,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
36816,2020-02-18,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
35239,2020-02-19,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
24532,2020-02-20,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
20298,2020-02-21,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
37074,2020-02-22,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
24947,2020-02-23,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
22316,2020-02-24,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
35753,2020-02-25,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
23459,2020-02-26,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
23087,2020-02-27,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
24224,2020-02-28,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39644,2020-02-29,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
23682,2020-03-01,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39564,2020-03-02,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
25159,2020-03-03,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
38903,2020-03-04,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
35668,2020-03-05,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
20883,2020-03-06,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
36853,2020-03-07,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
21436,2020-03-08,LA,0,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
36948,2020-03-09,LA,1,1,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
38104,2020-03-10,LA,1,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39245,2020-03-11,LA,8,7,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
34980,2020-03-12,LA,14,6,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
22373,2020-03-13,LA,33,19,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
38826,2020-03-14,LA,33,0,0.0,0,0.0,0.0,0,0.0,03/26/2020 04:22:39 PM
39469,2020-03-15,LA,101,68,0.0,2,0.0,0.0,2,0.0,03/26/2020 04:22:39 PM
38039,2020-03-16,LA,137,36,0.0,3,0.0,0.0,1,0.0,03/26/2020 04:22:39 PM
20738,2020-03-17,LA,190,53,0.0,4,0.0,0.0,1,0.0,03/26/2020 04:22:39 PM
36990,2020-03-18,LA,261,71,0.0,7,0.0,0.0,3,0.0,03/26/2020 04:22:39 PM
22384,2020-03-19,LA,392,131,0.0,10,0.0,0.0,3,0.0,03/26/2020 04:22:39 PM
37096,2020-03-20,LA,537,145,0.0,14,0.0,0.0,4,0.0,03/26/2020 04:22:39 PM
21340,2020-03-21,LA,763,226,0.0,20,0.0,0.0,6,0.0,03/26/2020 04:22:39 PM
21936,2020-03-22,LA,1035,272,0.0,29,0.0,0.0,9,0.0,03/26/2020 04:22:39 PM
39031,2020-03-23,LA,1172,137,0.0,34,0.0,0.0,5,0.0,03/26/2020 04:22:39 PM
