,submission_date,state,tot_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at
33516,2020-01-22,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/24/2020 12:00:00 AM
32577,2020-01-23,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/25/2020 12:00:00 AM
31837,2020-01-24,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/26/2020 12:00:00 AM
12958,2020-01-25,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/27/2020 12:00:00 AM
14085,2020-01-26,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/28/2020 12:00:00 AM
12689,2020-01-27,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/29/2020 12:00:00 AM
14137,2020-01-28,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/30/2020 12:00:00 AM
11510,2020-01-29,MD,0,0,0.0,0,0.0,0.0,0,0.0,01/31/2020 12:00:00 AM
31221,2020-01-30,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/01/2020 12:00:00 AM
25416,2020-01-31,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/02/2020 12:00:00 AM
16698,2020-02-01,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/03/2020 12:00:00 AM
15550,2020-02-02,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/04/2020 12:00:00 AM
17854,2020-02-03,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/05/2020 12:00:00 AM
11395,2020-02-04,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/06/2020 12:00:00 AM
31283,2020-02-05,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/07/2020 12:00:00 AM
16355,2020-02-06,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/08/2020 12:00:00 AM
18621,2020-02-07,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/09/2020 12:00:00 AM
30950,2020-02-08,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/10/2020 12:00:00 AM
12437,2020-02-09,MD,0,0,0.0,0,0.0,0.0,0,0.0,02/11/2020 12:00:00 AM
