Date,Administered,Administered_daily
2020-12-14,0,0.0
2020-12-15,0,0.0
2020-12-16,0,0.0
2020-12-17,0,0.0
2020-12-18,0,0.0
2020-12-19,0,0.0
2020-12-20,0,0.0
2020-12-21,0,0.0
2020-12-22,17878,17878.0
2020-12-23,21433,3555.0
2020-12-24,26971,5538.0
2020-12-25,31653,4682.0
2020-12-26,33218,1565.0
2020-12-27,33933,715.0
2020-12-28,34151,218.0
2020-12-29,36689,2538.0
2020-12-30,40678,3989.0
2020-12-31,44351,3673.0
2021-01-01,46687,2336.0
2021-01-02,46687,0.0
2021-01-03,49589,2902.0
2021-01-04,49693,104.0
2021-01-05,54973,5280.0
2021-01-06,64664,9691.0
2021-01-07,78608,13944.0
2021-01-08,94483,15875.0
2021-01-09,113470,18987.0
2021-01-10,129591,16121.0
2021-01-11,142771,13180.0
2021-01-12,156186,13415.0
2021-01-13,175811,19625.0
2021-01-14,197967,22156.0
2021-01-15,219664,21697.0
2021-01-16,219664,0.0
2021-01-17,219664,0.0
2021-01-18,255591,35927.0
2021-01-19,264400,8809.0
2021-01-20,264400,0.0
2021-01-21,279398,14998.0
2021-01-22,297655,18257.0
2021-01-23,315023,17368.0
2021-01-24,334086,19063.0
2021-01-25,341447,7361.0
2021-01-26,345675,4228.0
2021-01-27,358746,13071.0
2021-01-28,375895,17149.0
2021-01-29,398312,22417.0
2021-01-30,420908,22596.0
2021-01-31,443715,22807.0
2021-02-01,463179,19464.0
2021-02-02,476014,12835.0
2021-02-03,488960,12946.0
2021-02-04,509982,21022.0
2021-02-05,536404,26422.0
2021-02-06,570731,34327.0
2021-02-07,599941,29210.0
2021-02-08,614041,14100.0
2021-02-09,619729,5688.0
2021-02-10,639019,19290.0
2021-02-11,639019,0.0
2021-02-13,735622,34512.0
2021-02-14,769155,33533.0
2021-02-15,780048,10893.0
2021-02-16,784976,4928.0
2021-02-17,791574,6598.0
2021-02-18,795511,3937.0
2021-02-20,877683,18118.0
2021-02-21,894519,16836.0
2021-02-22,903226,8707.0
2021-02-23,907334,4108.0
2021-02-24,920794,13460.0
2021-02-25,943419,22625.0
2021-02-26,978234,34815.0
2021-03-01,1076576,19601.0
2021-03-02,1084499,7923.0
2021-03-03,1107626,23127.0
2021-03-04,1139071,31445.0
2021-03-06,1179915,777.0
2021-03-07,1180945,1030.0
2021-03-09,1286353,8464.0
2021-03-10,1309279,22926.0
2021-03-11,1340630,31351.0
2021-03-14,1464377,118.0
2021-03-15,1484459,20082.0
2021-03-16,1494482,10023.0
2021-03-17,1519050,24568.0
2021-03-18,1519659,609.0
2021-03-21,1664443,35006.0
2021-03-22,1688633,24190.0
2021-03-23,1695779,7146.0
2021-03-24,1725080,29301.0
2021-03-25,1756494,31414.0
2021-03-26,1793002,36508.0
2021-03-29,1911134,28944.0
2021-03-30,1920242,9108.0
