Date,Administered,Administered_daily
2020-12-14,0,0.0
2020-12-15,0,0.0
2020-12-16,0,0.0
2020-12-17,3,3.0
2020-12-18,521,518.0
2020-12-19,521,0.0
2020-12-20,3838,3317.0
2020-12-21,4667,829.0
2020-12-22,4928,261.0
2020-12-23,8284,3356.0
2020-12-24,11800,3516.0
2020-12-25,15852,4052.0
2020-12-26,18928,3076.0
2020-12-27,20894,1966.0
2020-12-28,22974,2080.0
2020-12-29,31135,8161.0
2020-12-30,39594,8459.0
2020-12-31,50312,10718.0
2021-01-01,57628,7316.0
2021-01-02,59890,2262.0
2021-01-03,63606,3716.0
2021-01-04,65718,2112.0
2021-01-05,77274,11556.0
2021-01-06,87513,10239.0
2021-01-07,100049,12536.0
2021-01-08,114731,14682.0
2021-01-09,128853,14122.0
2021-01-10,142459,13606.0
2021-01-11,146231,3772.0
2021-01-12,161851,15620.0
2021-01-13,178056,16205.0
2021-01-14,194705,16649.0
2021-01-15,213174,18469.0
2021-01-16,237751,24577.0
2021-01-17,245523,7772.0
2021-01-18,247597,2074.0
2021-01-19,258146,10549.0
2021-01-20,258146,0.0
2021-01-21,271905,13759.0
2021-01-22,287512,15607.0
2021-01-23,307411,19899.0
2021-01-24,338544,31133.0
2021-01-25,350835,12291.0
2021-01-26,365519,14684.0
2021-01-27,389253,23734.0
2021-01-28,412206,22953.0
2021-01-29,442565,30359.0
2021-01-30,475780,33215.0
2021-01-31,505454,29674.0
2021-02-01,528301,22847.0
2021-02-02,537037,8736.0
2021-02-03,546409,9372.0
2021-02-04,565821,19412.0
2021-02-05,594647,28826.0
2021-02-06,626838,32191.0
2021-02-07,665025,38187.0
2021-02-08,683305,18280.0
2021-02-09,692965,9660.0
2021-02-10,721159,28194.0
2021-02-11,745478,24319.0
2021-02-12,778790,33312.0
2021-02-13,812231,33441.0
2021-02-14,850994,38763.0
2021-02-15,871372,20378.0
2021-02-16,887943,16571.0
2021-02-17,903172,15229.0
2021-02-18,930567,27395.0
2021-02-20,1054467,43144.0
2021-02-21,1087762,33295.0
2021-02-22,1111529,23767.0
2021-02-23,1132483,20954.0
2021-02-24,1159983,27500.0
2021-02-25,1199143,39160.0
2021-02-26,1239644,40501.0
2021-02-27,1280675,41031.0
2021-02-28,1325977,45302.0
2021-03-01,1364145,38168.0
2021-03-02,1390370,26225.0
2021-03-03,1454494,64124.0
2021-03-04,1497538,43044.0
2021-03-05,1548380,50842.0
2021-03-06,1606378,57998.0
2021-03-07,1645609,39231.0
2021-03-08,1671778,26169.0
2021-03-09,1715039,43261.0
2021-03-10,1761081,46042.0
2021-03-11,1812309,51228.0
2021-03-12,1859444,47135.0
2021-03-13,1922161,62717.0
2021-03-14,1961982,39821.0
2021-03-15,1991188,29206.0
2021-03-16,2033434,42246.0
2021-03-17,2082976,49542.0
2021-03-18,2130973,47997.0
